id,authors,year,title,publication_status,url,annotation
23,Sergey Bartunov; Adam Santoro; Blake A. Richards; Luke Marris; Geoffrey E. Hinton; Timothy Lillicrap,2018,Assessing the Scalability of Biologically-Motivated Deep Learning Algorithms and Architectures,NeurIPS 2018,https://proceedings.neurips.cc/paper/2018/hash/63c3ddcc7b23daa1e42dc41f9a44a873-Abstract.html,"Controlled evidence of scaling difficulties for the alternatives tested. Historical comparison, not a verdict on every later method."
24,Geoffrey Hinton,2022,The Forward-Forward Algorithm: Some Preliminary Investigations,arXiv preprint,https://arxiv.org/abs/2212.13345,Positive and negative forward passes optimize layer-specific goodness. Small initial demonstrations; not plain pairwise Hebbian learning.
25,Dmitry Krotov; John J. Hopfield,2016,Dense Associative Memory for Pattern Recognition,NeurIPS 2016,https://arxiv.org/abs/1606.01164,Higher-capacity associative models connect to feature and prototype recognition. Foundational context for modern memory networks.
26,Hubert Ramsauer and colleagues,2020/2021,Hopfield Networks is All You Need,2020 preprint; ICLR 2021,https://arxiv.org/abs/2008.02217,Continuous Hopfield retrieval connects to attention. Capacity results have model and pattern assumptions; retrieval equivalence is not training equivalence.
27,Dmitry Krotov; John Hopfield,2020,Large Associative Memory Problem in Neurobiology and Machine Learning,arXiv paper,https://arxiv.org/abs/2008.06996,Relates large associative memories to hidden-neuron models with pairwise interactions. Useful for assessing biological interpretations of modern Hopfield models.
28,Angelos Katharopoulos; Apoorv Vyas; Nikolaos Pappas; François Fleuret,2020,Transformers are RNNs: Fast Autoregressive Transformers with Linear Attention,ICML 2020,https://proceedings.mlr.press/v119/katharopoulos20a.html,Kernelized linear attention has recurrent accumulators. Normalization requires additional state beyond a bare key-value matrix.
29,Imanol Schlag; Kazuki Irie; Jürgen Schmidhuber,2021,Linear Transformers Are Secretly Fast Weight Programmers,ICML 2021,https://arxiv.org/abs/2102.11174,Core connection between linear attention and fast weights; replaces additive memory writing with error-correcting delta updates.
30,Songlin Yang; Bailin Wang; Yu Zhang; Yikang Shen; Yoon Kim,2024,Parallelizing Linear Transformers with the Delta Rule over Sequence Length,NeurIPS 2024,https://arxiv.org/abs/2406.06484,Parallel training algorithms make delta-rule sequence models practical on modern accelerators. Systems work is central to the scaling story.
31,Songlin Yang; Jan Kautz; Ali Hatamizadeh,2024/2025,Gated Delta Networks: Improving Mamba2 with Delta Rule,2024 preprint; ICLR 2025,https://arxiv.org/abs/2412.06464,Combines forgetting gates with error-correcting memory updates. Direct predecessor of delta-based attention in larger hybrid architectures.
32,Yu Sun and colleagues,2024,Learning to (Learn at Test Time): RNNs with Expressive Hidden States,"arXiv paper, July 2024; revised limitations August 31, 2025",https://arxiv.org/abs/2407.04620,TTT-Linear and TTT-MLP turn recurrent state into an inner learner. Reports experiments from 125M to 1.3B parameters.
33,Ali Behrouz; Peilin Zhong; Vahab Mirrokni,2024/2025,Titans: Learning to Memorize at Test Time,"Submitted December 31, 2024; arXiv identifier 2501.00663",https://arxiv.org/abs/2501.00663,"Adaptive neural memory uses gradient-based surprise, momentum, and forgetting. Very-long-context retrieval claims are task-specific."
34,Ali Behrouz; Meisam Razaviyayn; Peilin Zhong; Vahab Mirrokni,2025,"It's All Connected: A Journey Through Test-Time Memorization, Attentional Bias, Retention, and Online Optimization","arXiv paper, April 2025",https://arxiv.org/abs/2504.13173,"MIRAS organizes memory architectures by objective, retention, and learning rule. Useful design framework rather than proof of universal continual learning."
35,Ali Behrouz; Meisam Razaviyayn; Peilin Zhong; Vahab Mirrokni,2025,Nested Learning: The Illusion of Deep Learning Architectures,"NeurIPS 2025 version; arXiv posted December 31, 2025",https://arxiv.org/abs/2512.24695,Multiple optimization timescales and the Hope architecture. Distinguish the conceptual framework from specific demonstrated retention results.
36,Arnuv Tandon and colleagues,2025,End-to-End Test-Time Training for Long Context,"arXiv paper, December 29, 2025",https://arxiv.org/abs/2512.23675,TTT-E2E adapts a sliding-window transformer with next-token training on context. Reports 3B/164B-token experiments and context-scaling comparisons.
37,Bo Peng and colleagues,2025,"RWKV-7 ""Goose"" with Expressive Dynamic State Evolution","arXiv paper, March 2025",https://arxiv.org/abs/2503.14456,"Richer recurrent state evolution with released language-model evidence around 3B scale. Related through fast state updates, not pure Hebbian pretraining."
38,Julien Siems; Timur Carstensen; Arber Zela; Frank Hutter; Massimiliano Pontil; Riccardo Grazzi,2025,DeltaProduct: Improving State-Tracking in Linear RNNs via Householder Products,arXiv paper; revised title verified October 2025 version,https://arxiv.org/abs/2502.10297,Multiple online update steps produce richer state transitions. Earlier versions used a different subtitle; useful for expressivity versus efficiency.
39,Kimi Team,2025,"Kimi Linear: An Expressive, Efficient Attention Architecture","Technical report, October 2025",https://arxiv.org/abs/2510.26692,48B-total/3B-active hybrid KDA–MLA model with matched-recipe comparisons. Speed and KV-cache maxima depend on benchmark context and implementation.
40,Qwen Team,2025,Qwen3-Next-80B-A3B-Thinking,"Official model documentation; accessed September 12, 2026",https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Thinking,"Documents an 80B-total/3B-active model using a 3:1 Gated DeltaNet/attention layout. Architectural adoption evidence, not an isolated Hebbian ablation."
41,Qwen Team,2026,Qwen3.8-Flash-Next,"Official model documentation; release announcement August 26, 2026",https://huggingface.co/Qwen/Qwen3.8-Flash-Next,"Continues Gated DeltaNet with sparse attention and conventional gradient optimizers. Included for current architectural adoption, not leaderboard comparison."
42,Rui-Jie Zhu; Qihang Zhao; Guoqi Li; Jason K. Eshraghian,2023,SpikeGPT: Generative Pre-trained Language Model with Spiking Neural Networks,arXiv paper,https://arxiv.org/abs/2302.13939,45M and 216M spiking language models trained with backpropagation. Separates spiking representations from Hebbian learning and measured energy efficiency.
43,Shikuang Deng; Jiayuan Zhang; Yuhang Wu; Ting Chen; Shi Gu,2025,Rethinking Hebbian Principle: Low-Dimensional Structural Projection for Unsupervised Learning,NeurIPS 2025,https://proceedings.neurips.cc/paper_files/paper/2025/hash/570c7ef1731e7f243a2e2ec6132b8483-Abstract-Conference.html,"SPHeRe uses structural preservation, orthogonality, and local auxiliary optimization. Includes local backpropagation rather than eliminating gradients everywhere."
44,Wenjia Hua; Kejie Zhao; Luziwei Leng; Ran Cheng; Yuxin Ma; Qinghai Guo,2026,Hebbian Learning with Global Direction,"arXiv paper, January 29, 2026",https://arxiv.org/abs/2601.21367,"Oja-style magnitudes are modulated by global gradient signs. The paper explicitly uses a backpropagated gradient, an essential qualification for its scaling claims."
45,Alexander Demidovskij; Igor Salnikov; Olga Frolova; Aleksei Trutnev; Artyom Tugaryov; Yuri Ignatiev; Vasilisa Blyudova; Egor Zharikov; Irina Novikova,2025/2026,Going beyond LoRA Fine-Tuning with Hebb Learning: Blazingly Fast and Accurate,"ECAI 2025 proceedings; publisher online date August 25, 2026",https://journals.sagepub.com/doi/10.3233/FAIA251089,"LoRA-HeRO combines local updates, layer selection, and gradient fine-tuning. Text-only LLaMA results show a quality tradeoff; inspect the freeze-only ablation."
46,Xing Zhao; Liu Yang; Xi-Le Zhao; Yueqi Yang; Tianqi Jiang,2026,Hebbian-Guided Bi-Directional Rank Adaptation for Parameter-Efficient Fine-Tuning,"Findings of ACL 2026, July",https://aclanthology.org/2026.findings-acl.954/,"HeBiRA reallocates low-rank capacity using activations and output gradients. Direct PEFT evidence, including LLaMA math and code tasks; retains gradient training."
47,Jinchang Zhu; Jindong Li; Cheng Zhang; Jiahong Liu; Menglin Yang,2026,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,"ACL 2026 long paper, July; preprint April 18",https://aclanthology.org/2026.acl-long.625/,"External episodic graph, semantic consolidation, and spreading-activation retrieval. Strong relevance to agent memory; does not train the underlying LLM synapses."
48,Riccardo Casciotti; Francesco De Santis; Alberto Antonietti; Annamaria Mesaros,2026,Incremental learning for audio classification with Hebbian Deep Neural Networks,"ICASSP 2026, per paper record; arXiv April 20",https://arxiv.org/abs/2604.18270,Selective kernel plasticity improves incremental ESC-50 classification in the reported setup. Domain-specific continual-learning evidence.
49,Andreas Knoblauch,2026,Supervised Hebbian learning in Deep Counterstream Associative Networks,"arXiv preprint, June 28, 2026",https://arxiv.org/abs/2606.29528,Opposing activity waves support local supervised association. Evidence is binarized MNIST; no demonstrated LLM-scale application.
50,Luca Pinchetti; Simon Frieder; Thomas Lukasiewicz; Tommaso Salvatori,2026,Faster Predictive Coding Networks via Better Initialization,"arXiv paper, January 28, 2026",https://arxiv.org/abs/2601.20895,"Addresses iterative inference cost by improving state initialization. Relevant to scalability of local credit assignment, not direct Hebbian LLM evidence."
51,Daniel Szelogowski,2025,Hebbian Memory-Augmented Recurrent Networks: Engram Neurons in Deep Learning,"arXiv preprint, July 29, 2025",https://arxiv.org/abs/2507.21474,Explicit differentiable Hebbian traces; includes WikiText-103 with broadly comparable recurrent-baseline performance. Exploratory interpretability and memory contribution.
52,P. Myles Eugenio,2025,Hebbian learning the local structure of language,"arXiv preprint, March 3, 2025",https://arxiv.org/abs/2503.02057,Exploratory tokenization and morphology model. Its language-structure claims do not establish competitive open-ended language modeling.
53,Gavriel Di Nepi; Federico Siciliano; Fabrizio Silvestri,2025,Titans Revisited: A Lightweight Reimplementation and Critical Analysis of a Test-Time Memory Model,"arXiv paper, October 10, 2025",https://arxiv.org/abs/2510.09551,"Independent reimplementation with mixed outcomes across different tasks. Useful replication evidence, with settings distinct from original autoregressive LM experiments."
54,Longwei Zou; Lin Zhong,2026,KVBuffer: IO-aware Serving for Linear Attention,"arXiv paper, May 18, 2026",https://arxiv.org/abs/2605.19049,Serving study on Qwen3-Next shows the importance of recurrent-state memory traffic. Constant state with context length does not guarantee low latency.
